Câu Hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4
Công thức cấu tạo thu gọn của X là?,CH3COOCH2CH2OCOC2H5.,HCOOCH2CH2CH2CH2OOCCH3.,CH3COOCH2CH2CH2OCOCH3.,"C2H5COOCH2CH2CH2OOCH3.
"
"Sau khi hòa tan hoàn toàn 20 gam hỗn hợp Mg và Fe bằng dung dịch HCl dư thu được 11,2 lít khí (đktc) và dung dịch X, bao nhiêu gam muối khan được thu được?","40,0 gam.","50,0 gam.","55,5 gam.","45,5 gam.
"
Cấu trúc câu hỏi: Chất X có công thức là?,(CH3COO)3C3H5,(HCOO)3C3H5,(C17H35COO)3C3H5,"(C17H33COO)C3H5
"
"Chất X, Y, Z, T lần lượt là:","Anilin, Glyxin, Metyl amin, Axit glutamic.","Metyl amin, Anilin, Glyxin, Axit glutamic.","Axit glutamic, Metyl amin, Anilin, Glyxin.","Glyxin, Anilin, Axit glutamic, Metyl amin.
"
Hàm lượng glucozơ không đổi trong máu người là khoảng bao nhiêu?,"0,1%",7,5,"6
"
Có thể phân biệt glucozơ và fructozơ bằng phản ứng nào?,Không có đáp án đúng,Tráng gương,Không có đáp án đúng,"Không có đáp án đúng
"
"Thủy phân hoàn toàn tinh bột, xenlulozơ, saccarozơ đều cho cùng một loại monosaccarit?",Có,Không có đáp án đúng,Không có đáp án đúng,"Không có đáp án đúng
"
Glucozơ là chất dinh dưỡng và được dùng làm thuốc tăng lực cho người nào?,"Già, trẻ em và người ốm",Không có đáp án đúng,Không có đáp án đúng,"Không có đáp án đúng
"
Xenlulozơ là nguyên liệu được dùng để sản xuất gì?,"Tơ nhân tạo, chế tạo thuốc súng không khói",Không có đáp án đúng,Không có đáp án đúng,"Không có đáp án đúng
"
Mặt cắt củ khoai tác dụng với I2 cho màu nào?,Xanh tím,Không có đáp án đúng,Không có đáp án đúng,"Không có đáp án đúng
"
Saccarozơ là nguyên để thủy phân thành glucozơ và fructozơ dùng trong kĩ thuật nào?,"Tráng gương, tráng ruột phích",Không có đáp án đúng,Không có đáp án đúng,"Không có đáp án đúng
"
"Một hỗn hợp A gồm X và Y có tỉ lệ mol tương ứng là 4 : 3 với dung dịch KOH vừa đủ sau khi phản ứng xảy ra hoàn toàn cô cạn dung dịch thu được 257,36 gam chất rắn khan. Giá trị của m là?","155,44","167,38","212,12","150,88
"
Giá trị của x và y lần lượt là,"0,075 và 0,100","0,050 và 0,100","0,100 và 0,075","0,100 và 0,050
"
Hiệu suất quá trình lên men giấm là?,20%,80%,10%,"90%
"
Nếu cho 850 ml dung dịch NaOH 1M vào dung dịch X thì khối lượng kết tủa thu được là?,"20,40 gam.","25,30 gam.","26,40 gam.","21,05 gam.
"
Khối lượng chất rắn thu được sau khi kết thúc phản ứng là m gam?,"3,05","5,50","4,50","4,15
"
Tỉ lệ butađien và stiren trong cao su buna–S là bao nhiêu?,2 : 3.,1 : 2.,3 : 5.,"1 : 3.
"
Giá trị của m gần giá trị nào nhất sau đây?,"30,0","27,5","32,5","35,0
"
Số mol NaOH đã phản ứng là:,"0,50","0,55","0,65","0,70
"
Khối lượng muối sắt (III) sunfat tạo thành trong dung dịch là?,40y,80x,80y,"160x
"
Nồng độ % của Fe(NO3)3 trong X là?,"12,20%","13,56%","40,69%","20,20%
"
Phần trăm khối lượng Mg trong X là?,"28,15%","39,13%","52,17%","46,15%
"
Phần trăm số mol của chất có phân tử khối lớn nhất trong X là?,30%,50%,40%,"20%
"
"Tiến hành phản ứng nhiệt nhôm hoàn toàn m gam hỗn hợp X gồm bột Al và FexOy trong điều kiện không có không khí thu được hỗn hợp Y. Nghiền nhỏ, trộn đều hỗn hợp Y rồi chia thành hai phần: – Phần 1 có khối lượng 14,49 gam được hòa tan hết trong dung dịch HNO3 loãng, dư, đun nóng thu được dung dịch Z và 0,165 mol NO ( sản phẩm khử duy nhất). – Phần 2 đem tác dụng với dung dịch NaOH dư đun nóng thu được 0,015 mol khí H2 và còn lại 2,52 gam chất rắn. Công thức của oxit sắt và giá trị của m lần lượt là?","Fe3O4 và 28,98","Fe3O4 và 19,32","FeO và 19,32","Fe2O3 và 28,98"
